carat,cut,color,clarity,depth,table,price,x,y,z,L/W,color_scale,grams,ppg,clarity_scale,cut_scale
1.21,Premium,J,VS2,62.4,58.0,4268,6.83,6.79,4.25,1.0058910162002945,7,0.242,17636.363636363636,5,4
0.32,Very Good,H,VS2,63.0,57.0,505,4.35,4.38,2.75,0.9931506849315068,5,0.064,7890.625,5,3
0.41,Good,D,SI1,63.8,56.0,738,4.68,4.72,3.0,0.9915254237288136,1,0.082,9000.0,6,2
1.02,Ideal,G,SI1,60.5,59.0,4882,6.55,6.51,3.95,1.0061443932411673,4,0.20400000000000001,23931.372549019605,6,5
1.52,Ideal,F,SI2,61.2,57.0,9057,7.45,7.39,4.54,1.0081190798376185,3,0.30400000000000005,29792.763157894733,7,5
1.52,Ideal,J,VS1,62.3,58.0,8608,7.32,7.35,4.57,0.9959183673469388,7,0.30400000000000005,28315.789473684206,4,5
0.31,Ideal,H,VS1,61.8,54.2,557,4.33,4.37,2.69,0.9908466819221968,5,0.062,8983.870967741936,4,5
1.14,Ideal,G,SI1,61.7,56.0,6741,6.71,6.75,4.15,0.9940740740740741,4,0.22799999999999998,29565.789473684214,6,5
0.44,Premium,E,SI1,62.3,59.0,1040,4.88,4.84,3.03,1.0082644628099173,2,0.08800000000000001,11818.181818181816,6,4
0.93,Ideal,I,SI2,62.3,57.0,3101,6.2,6.22,3.87,0.9967845659163987,6,0.18600000000000003,16672.043010752684,7,5
1.65,Ideal,H,SI2,61.6,55.0,10349,7.58,7.62,4.68,0.994750656167979,5,0.33,31360.60606060606,7,5
0.43,Ideal,D,VS1,62.1,56.0,1207,4.85,4.87,3.02,0.9958932238193018,1,0.08600000000000001,14034.883720930231,4,5
0.38,Premium,G,VS2,60.8,61.0,983,4.66,4.65,2.83,1.0021505376344086,4,0.07600000000000001,12934.210526315788,5,4
0.85,Ideal,I,VS1,61.9,56.0,3548,6.08,6.1,3.77,0.9967213114754099,6,0.17,20870.588235294115,4,5
1.53,Premium,D,SI2,60.7,60.0,11078,7.45,7.41,4.51,1.0053981106612686,1,0.30600000000000005,36202.61437908496,7,4
1.54,Premium,H,VS2,61.0,60.0,11177,7.46,7.42,4.54,1.005390835579515,5,0.30800000000000005,36288.96103896103,5,4
0.71,Premium,G,SI2,62.0,59.0,1740,5.69,5.65,3.52,1.0070796460176992,4,0.142,12253.521126760565,7,4
0.3,Very Good,G,VS1,61.7,56.0,605,4.29,4.33,2.66,0.9907621247113164,4,0.06,10083.333333333334,4,3
0.3,Premium,G,SI1,62.9,59.0,574,4.28,4.24,2.68,1.009433962264151,4,0.06,9566.666666666668,6,4
1.0,Ideal,I,SI2,61.7,56.0,2873,6.45,6.41,3.97,1.0062402496099845,6,0.2,14365.0,7,5
1.0,Premium,G,VS2,61.6,54.0,6216,6.49,6.46,3.99,1.0046439628482973,4,0.2,31080.0,5,4
0.9,Premium,D,SI1,61.7,56.0,3568,6.16,6.09,3.78,1.0114942528735633,1,0.18000000000000002,19822.22222222222,6,4
1.55,Very Good,H,SI1,63.2,57.0,7066,7.35,7.31,4.64,1.0054719562243501,5,0.31000000000000005,22793.54838709677,6,3
1.01,Premium,H,SI2,61.1,60.0,3054,6.46,6.41,3.93,1.0078003120124805,5,0.202,15118.811881188118,7,4
1.16,Premium,G,SI2,62.5,58.0,4969,6.72,6.68,4.19,1.0059880239520957,4,0.23199999999999998,21418.103448275862,7,4
0.35,Ideal,H,VVS1,62.0,53.9,743,4.5,4.53,2.8,0.9933774834437086,5,0.06999999999999999,10614.285714285716,2,5
0.97,Ideal,H,VVS1,60.4,57.0,6801,6.4,6.48,3.89,0.9876543209876543,5,0.194,35056.701030927834,2,5
1.19,Ideal,E,SI2,60.2,57.0,5717,6.84,6.87,4.13,0.9956331877729258,2,0.238,24021.008403361346,7,5
0.7,Very Good,H,VS1,62.1,56.0,2422,5.65,5.68,3.52,0.994718309859155,5,0.13999999999999999,17300.0,4,3
0.8,Very Good,H,SI1,63.2,54.0,2553,5.93,5.88,3.73,1.0085034013605443,5,0.16000000000000003,15956.249999999996,6,3
0.71,Very Good,E,VS2,63.5,59.0,2858,5.68,5.59,3.58,1.0161001788908766,2,0.142,20126.760563380285,5,3
1.0,Premium,F,SI1,60.3,58.0,5292,6.47,6.43,3.89,1.0062208398133747,3,0.2,26460.0,6,4
0.5,Ideal,E,SI2,62.4,57.0,1240,5.07,5.03,3.15,1.0079522862823063,2,0.1,12400.0,7,5
0.51,Ideal,G,VVS2,61.3,57.0,1875,5.12,5.15,3.15,0.9941747572815534,4,0.10200000000000001,18382.35294117647,3,5
1.04,Premium,G,SI2,62.2,59.0,3861,6.57,6.49,4.06,1.012326656394453,4,0.20800000000000002,18562.5,7,4
0.64,Ideal,G,VVS2,61.8,54.0,2587,5.53,5.56,3.42,0.9946043165467627,4,0.128,20210.9375,3,5
0.8,Ideal,E,VS2,62.2,57.0,3648,5.95,5.98,3.71,0.9949832775919732,2,0.16000000000000003,22799.999999999996,5,5
0.3,Ideal,D,SI1,61.9,56.0,552,4.28,4.31,2.66,0.9930394431554526,1,0.06,9200.0,6,5
0.38,Premium,E,VS2,61.8,58.0,866,4.61,4.64,2.86,0.9935344827586208,2,0.07600000000000001,11394.736842105262,5,4
0.31,Ideal,G,VS1,62.1,55.0,625,4.33,4.37,2.7,0.9908466819221968,4,0.062,10080.645161290322,4,5
0.78,Ideal,G,VS2,61.7,55.0,3184,5.94,5.89,3.65,1.00848896434635,4,0.15600000000000003,20410.256410256407,5,5
1.0,Very Good,D,SI1,59.8,59.0,5671,6.47,6.51,3.88,0.9938556067588326,1,0.2,28355.0,6,3
0.7,Very Good,H,VS1,60.3,63.0,2399,5.77,5.73,3.47,1.006980802792321,5,0.13999999999999999,17135.714285714286,4,3
0.64,Very Good,F,SI1,60.7,59.0,1688,5.51,5.59,3.37,0.9856887298747764,3,0.128,13187.5,6,3
